code_insee,commune,pct_fibre,pct_cable,pct_dsl,pct_thd_radio,pct_4g_fixe,pct_hd_radio,pct_satellite,nb_locaux,nb_locaux_fibre,nb_locaux_cable,nb_locaux_dsl,nb_locaux_thd_radio,nb_locaux_4g_fixe,nb_locaux_hd_radio,nb_locaux_satellite
25008,Aibre,98.1,0.0,100.0,0.0,100.0,0.0,100.0,214,210.0,,214.0,,214.0,,214.0
56194,Rieux,0.0,0.0,100.0,0.0,100.0,0.0,100.0,1892,,,1892.0,,1892.0,,1892.0
70361,Montessaux,75.0,0.0,100.0,100.0,100.0,0.0,100.0,92,69.0,,92.0,92.0,92.0,,92.0
25262,Fuans,92.9,0.0,99.0,0.0,100.0,0.0,100.0,295,274.0,,292.0,,295.0,,295.0
89168,Fleys,0.0,0.0,100.0,13.2,98.2,0.0,100.0,167,,,167.0,22.0,164.0,,167.0
80207,Contay,97.7,0.0,100.0,0.0,100.0,0.0,100.0,177,173.0,,177.0,,177.0,,177.0
2B137,Lano,0.0,0.0,100.0,0.0,100.0,0.0,100.0,27,,,27.0,,27.0,,27.0
11311,Ribaute,0.0,0.0,100.0,0.0,100.0,0.0,100.0,234,,,234.0,,234.0,,234.0
64560,Viven,98.9,0.0,96.7,96.7,100.0,0.0,100.0,91,90.0,,88.0,88.0,91.0,,91.0
60198,Dives,97.4,0.0,100.0,0.0,100.0,0.0,100.0,230,224.0,,230.0,,230.0,,230.0
27002,Acon,99.0,0.0,100.0,0.0,100.0,0.0,100.0,302,299.0,,302.0,,302.0,,302.0
31161,Deyme,92.4,0.0,100.0,5.8,100.0,5.1,100.0,781,722.0,,781.0,45.0,781.0,40.0,781.0
46123,Girac,93.4,0.0,100.0,0.0,100.0,0.0,100.0,289,270.0,,289.0,,289.0,,289.0
58096,Devay,96.7,0.0,94.1,0.0,100.0,0.0,100.0,269,260.0,,253.0,,269.0,,269.0
2A092,Conca,49.6,0.0,99.4,0.0,88.2,0.0,100.0,1436,712.0,,1428.0,,1267.0,,1436.0
46162,Lauzès,96.3,0.0,100.0,0.0,100.0,0.0,100.0,191,184.0,,191.0,,191.0,,191.0
47283,Saint-Vite,98.5,0.0,100.0,0.0,100.0,100.0,100.0,710,699.0,,710.0,,710.0,710.0,710.0
57713,Vieux-Lixheim,95.3,0.0,100.0,0.0,100.0,0.0,100.0,129,123.0,,129.0,,129.0,,129.0
64005,Abos,80.2,0.0,100.0,99.7,99.7,0.0,100.0,354,284.0,,354.0,353.0,353.0,,354.0
80013,Airaines,84.6,0.0,100.0,0.0,100.0,0.0,100.0,1373,1161.0,,1373.0,,1373.0,,1373.0
